"Source","Term_ID","Term_Name","GeneRatio","BgRatio","P_value","FDR","Q_value","Genes","Count","Comparison"
"GO_BP","GO:1902904","negative regulation of supramolecular fiber organization","20/510","167/18870",2.70018202144434e-08,2.81526120759637e-06,2.08502777144612e-06,"PFN2/TMSB10/STMN1/TMSB4X/GMFB/CYRIB/MAP1B/PFN1/FKBP4/HSPA8/TWF2/TMEFF2/CAPG/F11R/SPTAN1/RDX/MET/LDLR/CORO1A/SNCA",20,"EOAD_vs_CN"
"GO_BP","GO:0048675","axon extension","17/510","121/18870",2.77691368896452e-08,2.82793140557573e-06,2.09441152403909e-06,"MAPT/GDI1/ABL1/HSP90AA1/MAP1B/PLXNA4/TWF2/NRP1/NRCAM/RTN4R/VEGFA/EDN3/SEMA6D/SEMA3E/SEMA6B/NRP2/MEGF8",17,"EOAD_vs_CN"
"GO_BP","GO:0110053","regulation of actin filament organization","26/510","273/18870",2.9077688676072e-08,2.89389087982998e-06,2.14326217251143e-06,"ABL1/PDXP/PFN2/TMSB10/STMN1/SDC4/TMSB4X/COTL1/GMFB/CYRIB/PFN1/TWF2/TMEFF2/NRP1/CAPG/CX3CL1/BIN1/WDR1/F11R/SPTAN1/SFRP1/RDX/MET/GRB2/CORO1A/CFL2",26,"EOAD_vs_CN"
"GO_BP","GO:0032271","regulation of protein polymerization","22/510","204/18870",3.75882729271643e-08,3.65775660329006e-06,2.70899342429458e-06,"MAPT/ABL1/PFN2/TMSB10/STMN1/TMSB4X/COTL1/HSP90AA1/CYRIB/MAP1B/PFN1/FKBP4/TWF2/CAPG/BIN1/TPPP3/SPTAN1/RDX/MET/GRB2/CORO1A/SNCA",22,"EOAD_vs_CN"
"GO_BP","GO:0045936","negative regulation of phosphate metabolic process","31/510","376/18870",4.02959538561251e-08,3.83599960730374e-06,2.84100306248791e-06,"YWHAG/YWHAE/MAPT/UCHL1/YWHAB/PPIA/PARK7/ABL1/FKBP1A/CALM1/PRDX3/PTPA/CD109/PRKAR1A/THY1/LILRB4/PRKAR1B/CALM3/HGF/PIK3IP1/DKK1/GSTP1/PTPRT/SFRP1/DYNLL1/WARS1/EPHB2/SIRT2/HEG1/SNCA/HSPB1",31,"EOAD_vs_CN"
"GO_BP","GO:0010563","negative regulation of phosphorus metabolic process","31/510","377/18870",4.2818144459656e-08,3.98937562954965e-06,2.9545958136663e-06,"YWHAG/YWHAE/MAPT/UCHL1/YWHAB/PPIA/PARK7/ABL1/FKBP1A/CALM1/PRDX3/PTPA/CD109/PRKAR1A/THY1/LILRB4/PRKAR1B/CALM3/HGF/PIK3IP1/DKK1/GSTP1/PTPRT/SFRP1/DYNLL1/WARS1/EPHB2/SIRT2/HEG1/SNCA/HSPB1",31,"EOAD_vs_CN"
"GO_BP","GO:0043254","regulation of protein-containing complex assembly","33/510","419/18870",4.39293733580433e-08,4.00764012364316e-06,2.96812279202042e-06,"MAPT/PARK7/ABL1/PFN2/TMSB10/STMN1/TMSB4X/FSCN1/COTL1/HSP90AA1/CYRIB/MAP1B/PFN1/FKBP4/HSPA8/TWF2/CAND1/GFAP/CAPG/BIN1/DKK1/TPPP3/MMP3/SPTAN1/VEGFA/WARS1/SIRT2/RDX/MET/MSN/GRB2/CORO1A/SNCA",33,"EOAD_vs_CN"
"GO_BP","GO:0050769","positive regulation of neurogenesis","24/510","242/18870",4.60491822523183e-08,4.11529324658984e-06,3.04785242791392e-06,"MAPT/GDI1/CAMK2B/MAP1B/PLXNA4/TWF2/BDNF/TNFRSF1B/NRP1/GFAP/CX3CL1/BIN1/EFNA5/LRP8/SERPINE2/PLXNA2/VEGFA/SLITRK1/EPHB2/ACE/PLXNA1/HAPLN1/RELN/MEGF8",24,"EOAD_vs_CN"
"GO_BP","GO:0032970","regulation of actin filament-based process","31/510","379/18870",4.83116918309313e-08,4.23113797055296e-06,3.13364889539156e-06,"ABL1/PDXP/PFN2/TMSB10/STMN1/SDC4/TMSB4X/FSCN1/COTL1/GMFB/CYRIB/EPHA5/CAMK2D/PFN1/TWF2/TMEFF2/NRP1/CAPG/CX3CL1/BIN1/EFNA5/WDR1/F11R/SPTAN1/SFRP1/RDX/MET/LRP1/GRB2/CORO1A/CFL2",31,"EOAD_vs_CN"
"GO_BP","GO:1901888","regulation of cell junction assembly","22/510","213/18870",8.1660546813905e-08,7.01159871564882e-06,5.19290288407928e-06,"ABL1/SDC4/THY1/BDNF/NRP1/TPBG/EFNA5/F11R/DKK1/ADGRB1/NEGR1/VEGFA/SFRP1/LRTM2/SLITRK1/EPHB2/ACE/AGRN/APP/NECTIN1/SNCA/SLITRK5",22,"EOAD_vs_CN"
"GO_BP","GO:0022411","cellular component disassembly","36/510","497/18870",8.86180698525466e-08,7.3761150119897e-06,5.46286952126544e-06,"PARK7/PDXP/CALM1/STMN1/GABARAPL2/CFL1/ITGAM/FSCN1/MMP10/MAP1B/HSPA8/GABARAP/TIGAR/TWF2/NSF/MAP1LC3B2/MAP1LC3B/UFM1/CAPG/CX3CL1/WDR1/DKK1/HSPA2/PBXIP1/MMP3/SPTAN1/IGF1R/FAP/UBQLN1/MAP1LC3A/MMP12/RDX/LRP1/CFL2/CTSS/MELTF",36,"EOAD_vs_CN"
"GO_BP","GO:0048638","regulation of developmental growth","28/510","328/18870",8.9274742095331e-08,7.3761150119897e-06,5.46286952126544e-06,"MAPT/GDI1/ABL1/SOD1/BASP1/MAP1B/SPP1/GH1/DCC/PLXNA4/TWF2/BDNF/NRP1/EFNA5/EZR/ATRN/NRCAM/RTN4R/VEGFA/GDF15/FSTL4/SEMA6D/SEMA3E/SEMA6B/SYT1/AGRN/APP/MEGF8",28,"EOAD_vs_CN"
"GO_BP","GO:0061615","glycolytic process through fructose-6-phosphate","8/510","24/18870",1.35394773641245e-07,1.09795132180557e-05,8.13160424149463e-06,"PGAM1/PGK1/ENO2/ENO1/PKM/HK1/PGAM2/TPI1",8,"EOAD_vs_CN"
