"Protein","Module","Module_Name"
"PLXND1","blue","M2_blue"
"PMCH","blue","M2_blue"
"PODN","tan","M3_tan"
"PODXL","turquoise","M1_turquoise"
"POMC","grey","M17_grey"
"PON3","blue","M2_blue"
"POSTN","salmon","M10_salmon"
"PPBP","blue","M2_blue"
"PPM1L","grey","M17_grey"
"PPP1CB","blue","M2_blue"
"PPP1R7","pink","M5_pink"
"PPP3CA","pink","M5_pink"
"PPP3R1","pink","M5_pink"
"PPP5C","yellow","M6_yellow"
"PPT1","black","M7_black"
"PRAP1","tan","M3_tan"
"PRDX2","purple","M15_purple"
"PRDX3","pink","M5_pink"
"PRDX5","salmon","M10_salmon"
"PRDX6","purple","M15_purple"
"PREP","yellow","M6_yellow"
"PRG2","blue","M2_blue"
"PRKAR1A","yellow","M6_yellow"
"PRKAR1B","yellow","M6_yellow"
"PRL","magenta","M8_magenta"
"PRND","grey","M17_grey"
"PROC","blue","M2_blue"
"PROZ","blue","M2_blue"
"PRRG1","grey","M17_grey"
"PRSS2","magenta","M8_magenta"
"PRSS23","grey","M17_grey"
"PRSS8","cyan","M14_cyan"
"PSAT1","yellow","M6_yellow"
"PSMA1","pink","M5_pink"
"PSMA3","pink","M5_pink"
"PSMA4","pink","M5_pink"
"PSMA5","pink","M5_pink"
"PSMA6","pink","M5_pink"
"PSMA7","pink","M5_pink"
"PSMB1","pink","M5_pink"
"PSMB4","pink","M5_pink"
"PSMB6","pink","M5_pink"
"PSMB7","pink","M5_pink"
"PSME1","purple","M15_purple"
"PTGR1","salmon","M10_salmon"
"PTH2R","blue","M2_blue"
"PTHLH","turquoise","M1_turquoise"
"PTK7","tan","M3_tan"
"PTPA","pink","M5_pink"
"PTPRB","grey","M17_grey"
"PTPRC","grey","M17_grey"
"PTPRJ","blue","M2_blue"
"PTPRK","red","M9_red"
"PTPRM","red","M9_red"
"PTPRR","turquoise","M1_turquoise"
"PTPRT","greenyellow","M13_greenyellow"
"PTPRU","cyan","M14_cyan"
"PTTG1IP","turquoise","M1_turquoise"
"PVALB","midnightblue","M12_midnightblue"
"PVR","greenyellow","M13_greenyellow"
"PXDN","tan","M3_tan"
"PXYLP1","black","M7_black"
"PYCARD","salmon","M10_salmon"
"PYGB","magenta","M8_magenta"
