"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"CADM4",-0.00845626445797326,-0.0235605746767882,0.00664804576084163,-0.678800713582574,0.49726414159652,0.802454498408586,-0.00782732929246762,-0.0173012619034041,0.0059705415522556,7,1604,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.609129418442578
"RPN2",-0.0153247696447932,-0.0867989892094836,0.0561494499198972,-0.678287224059328,0.497589597607351,0.787243875586458,NA,NA,NA,3,522,"study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN",2,"study_11; study_2",0.698642691775726
"ADAMTSL4",-0.0116922882068596,-0.0575952071737492,0.0342106307600301,-0.676457339900894,0.49875032239983,0.449795059360073,NA,NA,NA,4,951,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.698730527913336
"TAX1BP1",0.00803242958544528,-0.0276585323055838,0.0437233914764744,0.675634225138719,0.499272906180447,0.0349371646165794,NA,NA,NA,5,1001,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.698730527913336
"GGH",-0.00697283819847169,-0.0311998625736648,0.0172541861767215,-0.675194662327815,0.499552097401995,0.555688191064858,-0.00673525322098446,-0.0169156076112096,0.0119230419971762,8,1620,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.61007719417315
"LRG1",0.000917725683318086,-0.0477111352239893,0.0495465865906254,-0.675162315787535,0.499572645794617,0.849659491402242,-0.000922964699251533,-0.0622305944143489,0.0589841795866725,7,1604,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.61007719417315
"MSLN",0.0145321489592537,-0.0324463903034472,0.0615106882219546,0.674631258734606,0.499910068095436,0.645136293981683,0.0143253310936797,-0.0240794184946826,0.0300146547234999,10,1965,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",0.621659144632679
"EFHD2",0.0575006953009046,-0.0512866013571993,0.166287991959008,0.674297395849111,0.500122259340344,0.575989918398246,0.0904779066745984,0.0195573686305191,0.182038147926482,3,443,"study_11_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_7_LOAD_vs_CN",3,"study_11; study_3_Soma; study_7",0.615690508126151
"EIF6",-0.0386098176053564,-0.161377819777028,0.0841581845663152,-0.673376440424502,0.500707833109256,0,NA,NA,NA,2,330,"study_11_LOAD_vs_CN; study_2_LOAD_vs_CN",2,"study_11; study_2",0.698730527913336
"PTTG1IP",0.00726238693456065,-0.0325600973614062,0.0470848712305275,0.673049112375194,0.500916046568674,0.86236975118468,NA,NA,NA,4,956,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.698730527913336
