"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"NPTN",-0.035571088169944,-0.0794186685785983,0.00827649223871023,-1.78676036436872,0.0739762279954709,0,-0.0357311180004299,-0.0455738013389001,-0.0229107003691217,6,685,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD",3,"study_1; study_11; study_6",0.428445653807103
"ECM2",0.0365506844878774,-0.00294358955432283,0.0760449585300776,1.78624455858128,0.0740596693015032,0,0.0367128364025686,0.0275997512635323,0.0457598651155017,8,1023,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.222206077415997
"LASP1",0.047645225078111,-0.0478885264879468,0.143178976644169,1.78582490249571,0.0741276133238939,0.0383985628081595,NA,NA,NA,5,418,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_5_EOD_vs_LOD",2,"study_1; study_11",0.495249140741533
"EFNA1",-0.0424649355478106,-0.0778132514438829,-0.00711661965173828,-1.78559016171517,0.0741656410223549,0.662413074185851,-0.0427121091497393,-0.0648791322912886,-0.0119051466245931,8,890,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.222206077415997
"C1QTNF3",0.132988881021864,0.056949060103942,0.209028701939786,1.7789686948555,0.0752448944901857,0.924838910572928,0.132686867562812,-0.00925885781294154,0.192699477908741,9,998,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.224558981994148
"NSFL1C",0.0678423063983536,-0.0255827371926952,0.161267349989402,1.77836552425025,0.0753438411011039,0,NA,NA,NA,4,320,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD",2,"study_1; study_11",0.499072451738081
"RELL1",-0.0495000281181338,-0.12324696223172,0.024246905995452,-1.77813726776646,0.0753813129353474,0,-0.0471469043746004,-0.065686742706014,-0.0341798056272436,6,1262,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_7_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",4,"study_1; study_11; study_7; study_8",0.328662524398115
"OSMR",-0.0295356251421438,-0.0579245198888512,-0.00114673039543637,-1.77471524927744,0.0759449161200282,0.726412956649401,-0.0287006571226154,-0.0373672061348073,-0.0139953334311985,10,1746,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Olink_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",6,"study_1; study_11; study_4; study_6; study_7; study_8",0.20476287510843
"NIBAN1",0.0863031359327092,-0.00530888154070912,0.177915153406127,1.77433330442337,0.0760080347955583,0.772477655460747,NA,NA,NA,2,386,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD",2,"study_1; study_11",0.499205313275913
"GPR158",-0.0335927234631077,-0.0864688675169102,0.0192834205906947,-1.77344870661509,0.0761543842309808,0.89060276899552,-0.035318901501447,-0.0856105693800757,0.0194746216610486,8,985,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.224725236786223
"F9",0.0486962933563126,-0.0117521569458832,0.109144743658508,1.7734288445372,0.0761576728850453,0.192915052398408,0.0491108147555718,0.0171349680615083,0.0710705617125718,8,901,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.224725236786223
"CPVL",0.0540833726819744,-0.000134472514322838,0.108301217878272,1.77327571066543,0.07618303184245,0.619425127106397,0.0537751390383397,0.00872501813624489,0.0819282885150476,10,1067,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Olink_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.224725236786223
"PSAP",-0.0219393493737921,-0.0573175581752537,0.0134388594276694,-1.77069905457108,0.0766107597857846,0,-0.0218743548373374,-0.0262296040358842,-0.0128785214776396,9,1044,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.225117771062844
"KIRREL3",-0.0147328627353334,-0.303401353378451,0.273935627907784,-1.7693137731643,0.0768415262092443,0.75735969398632,-0.0189416314603608,-0.157471442702186,0.0804798351893022,5,458,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_6_EOD_vs_LOD",3,"study_1; study_11; study_6",0.440452459508658
"MT3",-0.0358252730888103,-0.0888635525267945,0.017213006349174,-1.76687860505261,0.0772485608029167,0.403750680750537,-0.0350278620186669,-0.0516086235996512,-0.00282438230792449,8,1033,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.226122223959495
"IGKV2-29",0.130478029708678,-0.013927101749902,0.274883161167257,1.76558059230688,0.077466238391206,0.792927862435022,0.142638314820236,-0.0157188014870632,0.291549574949394,5,629,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_7_EOD_vs_LOD",4,"study_1; study_11; study_4; study_7",0.329249805688995
